predictor,official_index,true_class_id,true_class_name,displacement_pixels,direction,transformed_rgb_sha256,clean_predicted_class_id,transformed_predicted_class_id,transformed_correct,matches_clean_prediction,transformed_maximum_confidence
clip_vit_b_32_zero_shot,3,0,airplane,8,down,9f046fba9a6f1130d395e9020a415ac403b9d8a8212912a8a8a0ebcc02fa3fc0,0,0,True,True,0.9318518042564392
clip_vit_b_32_zero_shot,29,7,monkey,8,down,f5c2c385027fbe6d3c2df02afb1c8118a2dd3a7247728df49ece6277b49109f9,7,7,True,True,0.9995949864387512
clip_vit_b_32_zero_shot,35,2,car,8,down,b6cab4924b4c2515fb5028824d82843146eb96e329be7fa5ea21ea1c04f41340,2,2,True,True,0.9125986099243164
clip_vit_b_32_zero_shot,42,0,airplane,8,down,f49421799cc1ed98fc015c12471826085b637b10a45207f9b6d92cd911cb6efe,0,0,True,True,0.9679344892501831
clip_vit_b_32_zero_shot,49,2,car,8,down,a09ed01df98967693a8da15adf27b31830a05f65c827505ea3e72faa788043c2,2,2,True,True,0.9922237396240234
clip_vit_b_32_zero_shot,81,0,airplane,8,down,d53610c47db3bc1fe6323d78e86c38f2abde549847f660b12730da1449b38929,0,0,True,True,0.9017489552497864
clip_vit_b_32_zero_shot,95,1,bird,8,down,13e5a59085475d170f40c451bf56e0a798d7b4d74baf6fb796e82ffd5a17e797,1,1,True,True,0.9989734888076782
clip_vit_b_32_zero_shot,97,5,dog,8,down,12290b42eb3bfd6995f38444c129f5de946fa1076485eb5ee5ba68c0b5705e00,5,5,True,True,0.9683429598808289
clip_vit_b_32_zero_shot,116,1,bird,8,down,f6d25a964ddeeca40b8ed615615ad77e143809e94a8e066849ecbdc7f5bf99b1,1,1,True,True,0.9964255690574646
clip_vit_b_32_zero_shot,131,9,truck,8,down,15faff8b078ffb0f8e0e5553412b6d4409ef5615b30530888b59a709f7ecaf50,9,9,True,True,0.9867772459983826
clip_vit_b_32_zero_shot,151,8,ship,8,down,4fd9264cde8ee0f12253e8e7524acc1065000b3761e5d27a98e0033d34940043,8,8,True,True,0.9945955872535706
clip_vit_b_32_zero_shot,171,4,deer,8,down,7c1e2ade7f10d9d4b32ff3368b11bb85bb97c27a4e43fa6e0b042d7abbc6df94,4,4,True,True,0.9957619309425354
clip_vit_b_32_zero_shot,176,3,cat,8,down,b87ea5ea279ed0658ff2672dfc7e92b0456c45dbf77594007335cf71fccdd89a,3,3,True,True,0.986389696598053
clip_vit_b_32_zero_shot,191,9,truck,8,down,2497b207a88b4b02a73a66a865cdf88486d292cddf95e670486b1b57fc31abac,2,2,False,True,0.6853699088096619
clip_vit_b_32_zero_shot,194,8,ship,8,down,e15dfcd46b262e7360b25f6ef8b5dfbacd79591d05b1175501777b2576dc39e0,8,8,True,True,0.9958427548408508
clip_vit_b_32_zero_shot,198,1,bird,8,down,5c8cc9cf69a92343060c84a0db0b59c3b10b25cdb5c08cfdcca2a42f4ac7d139,1,1,True,True,0.9990344047546387
clip_vit_b_32_zero_shot,239,9,truck,8,down,16fba5731e522a2f093628c908a652c3e4be2d829a388232b715112c0c2a4d42,9,9,True,True,0.9850707054138184
clip_vit_b_32_zero_shot,261,1,bird,8,down,6f8d499b16e581a62664343fe8641fd741015c8a22f4f63be900ad43314a094e,1,1,True,True,0.9957582354545593
clip_vit_b_32_zero_shot,269,7,monkey,8,down,74b9851827ed79965e0af175c6c99ff6db2163305f0a296f648937b102590a61,7,7,True,True,0.9993670582771301
clip_vit_b_32_zero_shot,276,9,truck,8,down,4b43d7d0d0b39b21ecf691b30a5d3e9fdbb7ffebc707c2b4edf6a19f514d8ba6,9,9,True,True,0.8755397796630859
clip_vit_b_32_zero_shot,303,9,truck,8,down,5cce474e5c5905dd77cdb0000c24aec500a3dbcfc0b7c1dc85ccfd2d3eda5c72,9,9,True,True,0.9932801127433777
clip_vit_b_32_zero_shot,304,1,bird,8,down,069d5f17319d04b38d309e7ca2556a2a43727b23300ae0867bc4f67092269445,1,1,True,True,0.9815211892127991
clip_vit_b_32_zero_shot,317,2,car,8,down,d4f3e566b73d210db56c346f0a3338802a8bc3ab02f5f30a455c0a13ee435007,2,2,True,True,0.9843357801437378
clip_vit_b_32_zero_shot,319,5,dog,8,down,f83ce7db18be2ad928dca259dbd702839f2b8d934f07c73a8a7c5b1d6195b7dc,5,5,True,True,0.9763454794883728
clip_vit_b_32_zero_shot,323,7,monkey,8,down,317274629f52b4815694f236a589ec75881f3ab950de82bf51db3d8bdc9cadb0,7,7,True,True,0.9988337159156799
clip_vit_b_32_zero_shot,365,3,cat,8,down,758cce9a9c4cc61bba696e1100eb440ab95f9802e0f80e056f918e62ea883a9a,3,3,True,True,0.9798271656036377
clip_vit_b_32_zero_shot,370,7,monkey,8,down,607f360a03b577ea94f975c7168943fa2cf1b3730253d946261570b2b129d46f,7,7,True,True,0.9993257522583008
clip_vit_b_32_zero_shot,372,3,cat,8,down,eec5ae7d9a75f5a9571323e47c7d489afc12385507045cfec5bcc4f7c4ce9411,3,3,True,True,0.9779604077339172
clip_vit_b_32_zero_shot,378,5,dog,8,down,173dfd01dd38bd9fa3627e67c8fe14c1be070ceb301ec3153461be69689fb4cb,5,5,True,True,0.9871686697006226
clip_vit_b_32_zero_shot,391,3,cat,8,down,aff03c0f716ed9ff7725e4d08df636d520736ec18d7e3acd5ababbf8ea9dba5c,3,3,True,True,0.7725637555122375
clip_vit_b_32_zero_shot,409,2,car,8,down,00118d12f77ec25ccebddf453f178fea3e9b34b6661985f76899f4c9aca92b0f,2,2,True,True,0.9780673384666443
clip_vit_b_32_zero_shot,419,9,truck,8,down,33dfd98c85389c70f8cb40cd43dea114bc5258a57cbba936d7980598008b9f29,9,9,True,True,0.9870406985282898
clip_vit_b_32_zero_shot,449,6,horse,8,down,44467eef4ddd57110e26377116b7c32f35a61feb89d39f53516bf7ae5bca6119,6,6,True,True,0.9953639507293701
clip_vit_b_32_zero_shot,470,2,car,8,down,80ae0cdf87c1149602d973c1d11f2a27500032ed1c159f17ae96f91fa1160112,2,2,True,True,0.9798848628997803
clip_vit_b_32_zero_shot,483,2,car,8,down,7682f1174e1a7ef2584a6d982f81b6d4e28338b0cc3c917bb4a7f01a0c9e3201,2,2,True,True,0.9822287559509277
clip_vit_b_32_zero_shot,484,0,airplane,8,down,129d21600430c14094069a6c4507c17d38279d0c6d14936dab1c352a43d52a3b,0,0,True,True,0.9639240503311157
clip_vit_b_32_zero_shot,506,4,deer,8,down,9b23e8e810f67385a450e03b2e535824ad0a6adead177c3001a32659d211e4aa,4,4,True,True,0.9936805963516235
clip_vit_b_32_zero_shot,545,6,horse,8,down,1706230272a1f7fe16c7760515ead4044d2d46041f14cb9e3bc949696d569553,6,6,True,True,0.9110077023506165
clip_vit_b_32_zero_shot,562,0,airplane,8,down,0969b50b3a3153579d647e90b09aedb874d7714409fffb3b44981a5c2a00ab63,0,0,True,True,0.9724637269973755
clip_vit_b_32_zero_shot,568,5,dog,8,down,c43705cf14da8e77b3d5a8d6b6083a74c329c6d6047ddea4d1b7491831ab730c,5,5,True,True,0.9373362064361572
clip_vit_b_32_zero_shot,603,9,truck,8,down,07be72a3ecd49556a007f3e2fe10f0b548f3fb1d9cc9e4e0b0a626e02a556e02,9,9,True,True,0.9592010974884033
clip_vit_b_32_zero_shot,632,3,cat,8,down,44ab558088afc196a1a3831fa46b71964a0cee56cd01f054e4cebd403f46a24e,3,3,True,True,0.9826161861419678
clip_vit_b_32_zero_shot,645,5,dog,8,down,512a53954f3023e122d1c5bb5df66ce013ba88326ef8144032b347bf3233a0c6,5,5,True,True,0.8918848037719727
clip_vit_b_32_zero_shot,667,8,ship,8,down,71d308b2a384cd771f9ae5a23c14176cdd43921167d68a8cb0fae410ef19b808,8,8,True,True,0.9984878301620483
clip_vit_b_32_zero_shot,672,3,cat,8,down,a6cef430662c24f983ebce9b69e71b91c5ea7e4a861f33ab43084ab84257326c,3,3,True,True,0.8938527703285217
clip_vit_b_32_zero_shot,677,3,cat,8,down,49dfd69945e2726aa0c7ec0d374d80c4ab844df9fe8fb9d1d16da40f0b774c50,3,3,True,True,0.9848119020462036
clip_vit_b_32_zero_shot,685,5,dog,8,down,f745b9d5a122515c914ad0b522e8a770f07977383237dd13f19ce216f1d3257e,5,5,True,True,0.9823519587516785
clip_vit_b_32_zero_shot,691,4,deer,8,down,1128fcb746830363f21ed291b196ca74fc24b7cd972112017095d48c6350d8cc,4,4,True,True,0.9973928928375244
clip_vit_b_32_zero_shot,706,8,ship,8,down,48b4af150b202840dce428ab92f7e20d71a7489aec5f230b8ba8ca1c0610e3ad,8,8,True,True,0.9986016154289246
clip_vit_b_32_zero_shot,714,2,car,8,down,6409394ee69ef7789c14737a5a2755904cb1702eca68772a7a2d2dd85c3bdf72,2,2,True,True,0.8788336515426636
clip_vit_b_32_zero_shot,716,8,ship,8,down,7cdc27db8ebaee09956e199f0757dace447be95454568f7b325c75a52471be85,8,8,True,True,0.9866148829460144
clip_vit_b_32_zero_shot,738,3,cat,8,down,3b417afd4d4f9c724c44f76b7008320dc7840db2a7652e6fca3a5ca92d1fa19c,3,3,True,True,0.9814707636833191
clip_vit_b_32_zero_shot,739,8,ship,8,down,952724ec89ed7075ab292d32d11bd23faa870694d29a6103754aa14264f01ff5,8,8,True,True,0.9930144548416138
clip_vit_b_32_zero_shot,766,4,deer,8,down,e99664f374b07bda8ef3a5fde80c2571e6fdef75c3b261d3b47a5bba09427718,6,6,False,True,0.9673894047737122
clip_vit_b_32_zero_shot,791,3,cat,8,down,cd7f9dd9320995a568bf5a0da6eba6773a4c7d53e2bd63502e797f4d925af246,3,3,True,True,0.9866392016410828
clip_vit_b_32_zero_shot,805,9,truck,8,down,e4a5787d7bac12feabe66eb25d232d504c507d07dfff9d144ede0683d821b3ec,9,9,True,True,0.9568457007408142
clip_vit_b_32_zero_shot,825,1,bird,8,down,d1f6570e2dbdad52a7014942984e5ee4bf41d738e1e6fbf7455c61a11310384a,1,1,True,True,0.993208110332489
clip_vit_b_32_zero_shot,852,9,truck,8,down,05e0c143f556b679c3725bba9f3a92111f920a5d808ad0d79db8b20f07ab0854,9,9,True,True,0.9981618523597717
clip_vit_b_32_zero_shot,855,4,deer,8,down,b422b8d82376cb54ca7f073678fb9cef1d8f42242d9d62cd0356d2524edaa02d,4,4,True,True,0.9385368824005127
clip_vit_b_32_zero_shot,873,6,horse,8,down,f73510cf0746d8fcb3321f2cc70120aaf683ee92ddff99d189d6087366474cea,6,6,True,True,0.975037693977356
clip_vit_b_32_zero_shot,890,6,horse,8,down,8f06ac04e8785e3cd26e3aaa73b6b0910696395b2402a2729c3b26454bc3b7ba,6,6,True,True,0.9942724704742432
clip_vit_b_32_zero_shot,920,6,horse,8,down,df75e12deb3e21eea6b8376c30766502f76f22850dcc6ce51579cabc84596b56,6,6,True,True,0.9988948702812195
clip_vit_b_32_zero_shot,929,6,horse,8,down,f185b21a966e56263d38cf4a99f6ee763dc0205174a27d0f3d0464cace573506,6,6,True,True,0.9979944229125977
clip_vit_b_32_zero_shot,962,8,ship,8,down,2c28cd7c497131db562dd389869a9c344f96761f33833b3e85688963f7653a1a,8,8,True,True,0.9957401752471924
